,Class,Class X,Class Y,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Bld X,Bld Y,Dpt,Bld capacity,Day,Start,Stop,Notes,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG,Bld.1,class_code,dpt_address,bld_address
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,,,
1,CAS AA234 A1,42.3484255,-71.1078164,Afam Glnl Persp,Scott,4,Independent,20,20,AAS,102,42.34847,-71.10797,,,"Tue,Thu",09:30:00,10:45:00,Class Full,20229.0,2023-09-05,2023-12-12,,,,,,,,,,0,20,BRB,AA,"138 Mountfort St, Brookline, MA 02446",138 Mountfort Street
2,CAS AA114 B1,42.3484255,-71.1078164,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,CDS,AA,"138 Mountfort St, Brookline, MA 02446",
3,CAS AA114 D1,42.3484255,-71.1078164,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,CGS,AA,"138 Mountfort St, Brookline, MA 02446",
4,CAS AA114 E1,42.3484255,-71.1078164,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,COM,AA,"138 Mountfort St, Brookline, MA 02446",
5,CAS AA507 A1,42.3484255,-71.1078164,Lit:Harlem Rena,Boelcskevy,4,Independent,9,10,AAS,102,42.34847,-71.10797,,,Fri,11:15:00,14:00:00,Mts w/CAS EN377,,2023-09-08,2023-12-08,,,,,,,,,,0,9,EGL,AA,"138 Mountfort St, Brookline, MA 02446",138 Mountfort Street
6,CAS AA371 A1,42.3484255,-71.1078164,Af/Am History,Austin,4,Independent,22,25,CAS,226,42.35083,-71.10515,,,"Mon,Wed,Fri",11:15:00,12:05:00,"WebReg Restricted, Mts w/CAS HI298",20229.0,2023-09-06,2023-12-11,,,,,,,,,,0,22,EIB,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
7,CAS AH111 A1,42.3499108,-71.1065953,Anc to MED Art,Sloutsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0,180,EOP,AH,725 Commonwealth Avenue,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPC,,,
9,CAS AA114 C1,42.3484255,-71.1078164,Kongo to Cuba,Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,FLR,AA,"138 Mountfort St, Brookline, MA 02446",
10,CAS AA383 A1,42.3484255,-71.1078164,Africana Rel,Guillory,4,Independent,15,15,CAS,226,42.35083,-71.10515,,,"Mon,Wed,Fri",12:20:00,13:10:00,"Mts w/CAS RN383 Mts w/GRS RN683 Mts w/GRS AA683, Class Full",,2023-09-06,2023-12-11,,,,,,,,,,0,15,HAR,AA,"138 Mountfort St, Brookline, MA 02446",685-725 Commonwealth Avenue
